Entity,Code,Year,GDP per capita,cons_pct_gdp,Gini coefficient,log_gdp_pc
Belgium,BEL,2005,38645.26,72.2823296271162,0.2933692038059234,10.56217940742622
Belgium,BEL,2006,39371.086,71.9869660758139,0.2805405259132385,10.580786968012507
Belgium,BEL,2007,40520.086,71.2615633191306,0.2923767864704132,10.609553080769054
Belgium,BEL,2008,40380.906,73.3904375096484,0.283737301826477,10.606112328465052
Belgium,BEL,2009,39293.637,75.9198458365841,0.2855119109153747,10.578817876351827
Belgium,BEL,2010,39991.566,76.1117094259921,0.2837482988834381,10.596423860864087
Belgium,BEL,2011,40236.96,75.7432301488018,0.2806043922901153,10.602541255200142
Belgium,BEL,2012,40074.492,76.6971210891312,0.2749049961566925,10.598495301165345
Belgium,BEL,2013,40007.9,77.0418505267015,0.2766885757446289,10.596832213595516
Belgium,BEL,2014,40533.914,76.5202738158472,0.2813401222229004,10.609894285401378
Belgium,BEL,2015,40893.805,75.9908359764931,0.2772930860519409,10.618733863565945
Belgium,BEL,2016,41172.887,75.6398565957573,0.2758074104785919,10.625535236181996
Belgium,BEL,2017,41619.33,75.6834350006044,0.2738764882087707,10.636320001788258
Belgium,BEL,2018,42208.363,75.760002681223,0.2721419930458069,10.650373655745412
Belgium,BEL,2019,43006.402,74.8549416210288,0.2721955478191376,10.669104267314548
Belgium,BEL,2020,40769.023,74.4878123147578,0.2595827877521515,10.615677831827368
Belgium,BEL,2021,43140.97,73.6841543634665,0.2657763361930847,10.672228404623143
Belgium,BEL,2022,44486.742,75.0498789347972,0.2637555599212646,10.702946491179333
Belgium,BEL,2023,44866.195,75.0410001190286,0.2682310342788696,10.711439894839382
Belize,BLZ,1995,4967.9614,73.1843556651206,0.5754764676094055,8.510764853856882
Belize,BLZ,2018,5707.611,81.3927227960637,0.3994958400726318,8.64955582630945
Benin,BEN,2003,896.1468,89.1638439617269,0.3857746720314026,6.7981042388404544
Benin,BEN,2011,927.71643,89.0551589920886,0.4343927502632141,6.832726114969143
Benin,BEN,2015,1002.4189,86.5835444139701,0.4760386049747467,6.9101712581527135
Benin,BEN,2018,1071.5045,80.8602202275765,0.3794864416122436,6.976819014624832
Benin,BEN,2021,1176.3773,77.366630163728,0.3439580798149109,7.070194910335897
Bhutan,BTN,2003,1506.4153,57.2782508574212,0.4089800119400024,7.31748813395626
Bhutan,BTN,2007,1952.2573,59.2980188062001,0.3809077143669128,7.576741571810989
Bhutan,BTN,2012,2654.748,53.0200806870378,0.3880932629108429,7.884105013917064
Bhutan,BTN,2017,3211.809,65.7278165786191,0.3744140863418579,8.074589608790474
Bhutan,BTN,2022,3349.7332,78.7947072630305,0.2845352292060852,8.116635979856492
Bolivia,BOL,1997,1962.864,88.6164877472795,0.5814171433448792,7.582159910164707
Bolivia,BOL,1999,1998.9453,91.6346059114313,0.5803599953651428,7.600374970444167
Bolivia,BOL,2000,2014.1903,90.90480638085,0.6156523823738098,7.6079725573946835
Bolivia,BOL,2001,2013.8458,91.0150895049594,0.5736684203147888,7.607801506295693
Bolivia,BOL,2002,2029.6699,89.7866768123331,0.5927492380142212,7.615628447975819
Bolivia,BOL,2004,2099.9907,84.165781904031,0.5500035285949707,7.649688195130279
Bolivia,BOL,2005,2156.1868,82.2920337365673,0.5851856470108032,7.676096570205192
Bolivia,BOL,2006,2221.4272,77.1290887902131,0.566602885723114,7.705905151188532
Bolivia,BOL,2007,2283.4272,77.2839430866117,0.5453250408172607,7.7334327512322405
Bolivia,BOL,2008,2383.2502,75.5011687670936,0.5081493854522705,7.7762204652927025
Bolivia,BOL,2009,2422.5757,80.2105632904083,0.4922029674053192,7.792586591986701
Bolivia,BOL,2011,2568.5205,74.4814392886876,0.4608036279678345,7.851085331187522
Bolivia,BOL,2012,2657.2388,72.9433759271467,0.4657996892929077,7.885042817521
Bolivia,BOL,2013,2793.5146,74.0282215906341,0.475885808467865,7.9350557953040175
Bolivia,BOL,2014,2900.9023,77.6444965493782,0.4782916903495788,7.972777105512232
Bolivia,BOL,2015,2996.013,85.9149762534492,0.4673164486885071,8.00503768374652
Bolivia,BOL,2016,3077.5706,86.3676616130164,0.4524082243442535,8.031895798494094
Bolivia,BOL,2017,3160.1643,82.1220382112617,0.4461779594421386,8.05837929890022
Bolivia,BOL,2018,3204.5366,82.186583586564,0.4257908761501312,8.072322772317658
Bolivia,BOL,2019,3207.387,83.0236797128972,0.4164415895938873,8.073211865939351
Bolivia,BOL,2020,2765.0928,86.5045819830625,0.4364292025566101,7.924829475780211
Bolivia,BOL,2021,3011.551,82.7754090655665,0.4091338217258453,8.010210507422563
Bolivia,BOL,2022,3088.2412,83.896149024122,0.4120837748050689,8.035357016902623
Bolivia,BOL,2023,3122.7705,85.8191704871526,0.4205011427402496,8.046475867551074
Bolivia,BOL,2024,3045.6147,86.1607306705375,0.4086832404136657,8.021458031691786
Bosnia and Herzegovina,BIH,2001,2617.1824,124.59744475801,0.2996641993522644,7.869853598228971
Bosnia and Herzegovina,BIH,2004,3063.8354,119.41931337423,0.3403748869895935,8.027422808790845
Bosnia and Herzegovina,BIH,2007,3665.0896,108.299913234333,0.3425677716732025,8.206608061498043
Bosnia and Herzegovina,BIH,2011,4094.2532,109.080339710686,0.3332180380821228,8.3173396109136
Bosnia and Herzegovina,BIH,2015,4662.259,104.116519718244,0.3293428421020508,8.447255373608105
Bosnia and Herzegovina,BIH,2021,5995.542,89.2269319176259,0.3031010031700134,8.698771472048891
Botswana,BWA,1985,2693.782,61.9462976496381,0.542120099067688,7.898701433131847
Botswana,BWA,1993,4186.1455,63.3388573064009,0.6014758944511414,8.339535661121417
Botswana,BWA,2002,5175.4766,59.7544746629475,0.6153864860534668,8.551686710511294
Botswana,BWA,2009,5179.414,80.1186973921262,0.5693109035491943,8.552447201441012
Botswana,BWA,2015,6141.204,77.6371561659528,0.5490735769271851,8.722776093123032
Brazil,BRA,1981,6055.097,78.9563980149663,0.5786404609680176,8.708655675677209
Brazil,BRA,1982,5967.7783,82.6118205760892,0.5835609436035156,8.694129993070264
Brazil,BRA,1983,5664.963,86.726502827067,0.5890397429466248,8.642055642108032
Brazil,BRA,1984,5841.749,87.2722577070565,0.5829911828041077,8.672785517286572
Brazil,BRA,1985,6167.5127,79.9738126244614,0.5552642345428467,8.727050907582584
Brazil,BRA,1986,6494.2803,82.0099830841383,0.5843289494514465,8.778677114650918
Brazil,BRA,1987,6591.608,77.3276178698856,0.5964314937591553,8.793552603801716
Brazil,BRA,1988,6463.005,77.2441314200222,0.6137229800224304,8.77384965889713
Brazil,BRA,1989,6545.425,69.6288713017166,0.6324578523635864,8.786521611300746
Brazil,BRA,1990,6149.867,78.5934147869352,0.6045087575912476,8.724185734550458
Brazil,BRA,1992,5973.982,78.5822115243601,0.5310341715812683,8.695168985714938
Brazil,BRA,1993,6167.4604,77.7464213207551,0.6006689667701721,8.727042427628946
Brazil,BRA,1995,6596.335,84.6343635763917,0.5953119397163391,8.794269470746384
Brazil,BRA,1996,6640.726,84.9082257306072,0.5983837842941284,8.800976573842984
Brazil,BRA,1997,6764.8574,84.8449244936753,0.597547173500061,8.819496461299204
Brazil,BRA,1998,6687.4946,84.212832341616,0.595662534236908,8.8079945837273
Brazil,BRA,1999,6621.636,84.4628102113746,0.5895122289657593,8.798097748308853
Brazil,BRA,2001,6823.033,83.4510033869174,0.5840287804603577,8.828059373385877
Brazil,BRA,2002,6944.6226,81.7080973749825,0.5810567140579224,8.845722912459205
Brazil,BRA,2003,6941.4395,80.9221289122584,0.5755338668823242,8.84526445274142
Brazil,BRA,2004,7258.7812,78.6741611106153,0.5647182464599609,8.889967214937743
Brazil,BRA,2005,7409.5684,79.3942532267566,0.5631012916564941,8.910527470979757
Brazil,BRA,2006,7622.039,79.4765934034031,0.5564221143722534,8.938799198187967
Brazil,BRA,2007,8003.2534,78.8179351848226,0.5491916537284851,8.987603412992108
Brazil,BRA,2008,8330.764,78.5701855375531,0.5403758883476257,9.027710447641844
Brazil,BRA,2009,8246.096,81.6070983064842,0.5368199944496155,9.017495155207325
Brazil,BRA,2011,9067.992,78.9431087007925,0.5294176936149597,9.112506129403828
Brazil,BRA,2012,9167.498,79.9419700996212,0.5344597697257996,9.123419681783473
Brazil,BRA,2013,9366.738,80.607729078615,0.5271087288856506,9.14492018228309
Brazil,BRA,2014,9338.342,82.1131094196405,0.5205163359642029,9.14188399940509
Brazil,BRA,2015,8936.195,83.7416172332163,0.5193667411804199,9.09786516235517
Brazil,BRA,2016,8577.843,84.6307770187172,0.5336230397224426,9.056937762274684
Brazil,BRA,2017,8628.252,84.6562110353915,0.5328665971755981,9.062797214314791
Brazil,BRA,2018,8722.335,84.5111627546046,0.5389050245285034,9.073642256286995
Brazil,BRA,2019,8771.439,85.1276286862455,0.534758448600769,9.079256154004295
Brazil,BRA,2020,8435.011,83.2791539200016,0.4882206320762634,9.040146299069319
Brazil,BRA,2021,8799.229,79.9155850009309,0.5285088419914246,9.082419382991635
Brazil,BRA,2022,9032.084,81.4663155251856,0.5189443826675415,9.108538406051972
Brazil,BRA,2023,9288.026,81.9669340174189,0.5148624181747437,9.136481322684748
Brazil,BRA,2024,9566.744,82.7259294549308,0.5025812387466431,9.166048196670625
Bulgaria,BGR,1992,3835.4543,85.9511952191235,0.3071430921554565,8.252043168323803
Bulgaria,BGR,2006,5629.8013,85.0353701794247,0.3568882644176483,8.635829427438097
Bulgaria,BGR,2007,6048.742,85.2162553070748,0.3609587848186493,8.707605595519341
Bulgaria,BGR,2008,6464.722,82.8088904466123,0.3357256948947906,8.774115289508003
Bulgaria,BGR,2009,6288.7256,79.7167247198454,0.3382307589054107,8.746513721853656
Bulgaria,BGR,2010,6428.7173,80.6664638827585,0.3565346598625183,8.768530310550815
Bulgaria,BGR,2011,6605.3086,78.483505894684,0.3427497744560241,8.795628938045144
Bulgaria,BGR,2012,6693.4277,81.391688338642,0.3601097464561462,8.80888138364375
Bulgaria,BGR,2013,6792.7354,79.5527147848911,0.3657089471817016,8.823608996570448
Bulgaria,BGR,2014,6941.0186,79.6389212737491,0.3741585314273834,8.845203815065139
Bulgaria,BGR,2015,7268.6543,78.1638781384939,0.3856437802314758,8.891326450230174
Bulgaria,BGR,2016,7586.504,76.1212208076022,0.4058967530727386,8.934126158217513
Bulgaria,BGR,2017,7898.707,75.8363877428668,0.4037896394729614,8.974454354173496
Bulgaria,BGR,2018,8194.374,76.1629169288574,0.4128407537937164,9.011203100218726
Bulgaria,BGR,2019,8626.134,75.9252394375932,0.4027111828327179,9.062551711517921
Bulgaria,BGR,2020,8440.083,77.321733166911,0.4052315354347229,9.040747421664872
Bulgaria,BGR,2021,9161.478,76.8089849040782,0.3900544643402099,9.122762798363857
Bulgaria,BGR,2022,9597.868,76.198343188116,0.3820150196552276,9.169296269458439
Bulgaria,BGR,2023,9787.265,76.1018043771913,0.3947053551673889,9.188837329793694
Burkina Faso,BFA,1994,344.3712,83.6598120747345,0.4801755547523498,5.84172014536354
Burkina Faso,BFA,1998,415.2735,91.1490206371071,0.4986853003501892,6.028937339306323
Burkina Faso,BFA,2003,468.26306,96.4680917287651,0.4325115084648132,6.149030232019071
Burkina Faso,BFA,2009,533.4701,92.7280096869189,0.3976069986820221,6.279403024185287
Burkina Faso,BFA,2014,624.5769,85.6973049937223,0.3530122637748718,6.437074460495517
Burkina Faso,BFA,2018,694.4928,82.6987085208033,0.4301673173904419,6.543181794970033
Burkina Faso,BFA,2021,745.47253,81.3183101776832,0.3739128708839416,6.614018285772712
Burundi,BDI,1992,377.5183,110.089472302158,0.3333381116390228,5.933619044335308
Burundi,BDI,1998,281.4709,104.668915542229,0.4205813705921173,5.640029067458229
